fx,days,link,ca,bmfx,n_days,index_last,index_ret_pct,bm_last,bm_ret_pct,excess_pp,fx_missing,ann_vol_pct,tracking_err_pct,max_drawdown_pct,max_daily_ret_pct,min_daily_ret_pct,repro_max_rel_err,reproduces_published
BASE_DATE_FIXED,UNION_CARRY,SEGMENT_RELINK,SPLIT_5_ON_EFFECTIVE,LEVEL_ONLY,64,1332.3499603195496,33.234996031954964,1413.6772582050044,41.36772582050043,-8.132729788545468,0,67.65332322723663,62.09972808318355,-16.51131247544623,23.1534266405385,-14.415407488929056,0.21965768205295927,False
BASE_DATE_FIXED,UNION_CARRY,SEGMENT_RELINK,SPLIT_333_ON_LISTING,CONVERT,64,1304.595505612954,30.45955056129539,1413.6772582050044,41.36772582050043,-10.908175259205045,0,39.941421882541384,31.19052885780868,-16.347999138308367,6.242470874000272,-7.278065015032887,0.0708889100730557,False
BASE_DATE_FIXED,UNION_CARRY,SEGMENT_RELINK,SPLIT_333_ON_LISTING,LEVEL_ONLY,64,1304.595505612954,30.45955056129539,1413.6772582050044,41.36772582050043,-10.908175259205045,0,39.941421882541384,31.190528857808687,-16.347999138308367,6.242470874000272,-7.278065015032887,0.0708889100730557,False
BASE_DATE_FIXED,UNION_CARRY,DIVISOR_ADJUST,NONE,CONVERT,64,1265.7392690237211,26.5739269023721,1413.6772582050044,41.36772582050043,-14.793798918128331,0,40.13195277000504,31.71429939893649,-16.106965678333186,6.124900336899741,-7.344587020985694,0.025561674709610176,False
BASE_DATE_FIXED,UNION_CARRY,DIVISOR_ADJUST,NONE,LEVEL_ONLY,64,1265.7392690237211,26.5739269023721,1413.6772582050044,41.36772582050043,-14.793798918128331,0,40.13195277000504,31.714299398936497,-16.106965678333186,6.124900336899741,-7.344587020985694,0.025561674709610176,False
BASE_DATE_FIXED,UNION_CARRY,DIVISOR_ADJUST,SPLIT_5_ON_LISTING,CONVERT,64,1332.3499603195507,33.23499603195508,1413.6772582050044,41.36772582050043,-8.132729788545356,0,40.316743799342206,31.487679229549077,-16.51131247544623,6.322517142125816,-7.23291542658302,0.10436166952416852,False
BASE_DATE_FIXED,UNION_CARRY,DIVISOR_ADJUST,SPLIT_5_ON_LISTING,LEVEL_ONLY,64,1332.3499603195507,33.23499603195508,1413.6772582050044,41.36772582050043,-8.132729788545356,0,40.316743799342206,31.487679229549077,-16.51131247544623,6.322517142125816,-7.23291542658302,0.10436166952416852,False
BASE_DATE_FIXED,UNION_CARRY,DIVISOR_ADJUST,SPLIT_5_ON_EFFECTIVE,CONVERT,64,1332.3499603195507,33.23499603195508,1413.6772582050044,41.36772582050043,-8.132729788545356,0,67.65332322723667,62.09972808318358,-16.51131247544623,23.15342664053852,-14.415407488929077,0.21965768205296052,False
BASE_DATE_FIXED,UNION_CARRY,DIVISOR_ADJUST,SPLIT_5_ON_EFFECTIVE,LEVEL_ONLY,64,1332.3499603195507,33.23499603195508,1413.6772582050044,41.36772582050043,-8.132729788545356,0,67.65332322723667,62.09972808318358,-16.51131247544623,23.15342664053852,-14.415407488929077,0.21965768205296052,False
BASE_DATE_FIXED,UNION_CARRY,DIVISOR_ADJUST,SPLIT_333_ON_LISTING,CONVERT,64,1304.595505612955,30.4595505612955,1413.6772582050044,41.36772582050043,-10.908175259204933,0,39.94142188254137,31.190528857808665,-16.347999138308356,6.24247087400025,-7.278065015032897,0.07088891007305671,False
BASE_DATE_FIXED,UNION_CARRY,DIVISOR_ADJUST,SPLIT_333_ON_LISTING,LEVEL_ONLY,64,1304.595505612955,30.4595505612955,1413.6772582050044,41.36772582050043,-10.908175259204933,0,39.94142188254137,31.190528857808665,-16.347999138308356,6.24247087400025,-7.278065015032897,0.07088891007305671,False
